% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.647	1	0	65	8	1	2	26
0.648	1	0	65	9	2	12	125
0.648	1	0	65	9	3	28	469
0.648	1	0	65	9	4	8	85
0.648	1	0	65	9	6	14	157
0.648	1	0	65	9	1	2	26
0.649	1	0	65	10	2	12	125
0.649	1	0	65	10	3	28	469
0.649	1	0	65	10	4	8	85
0.649	1	0	65	10	6	14	157
0.649	1	0	65	10	1	2	26
0.65	1	0	66	1	2	12	125
0.65	1	0	66	1	3	28	469
0.65	1	0	66	1	4	8	85
0.65	1	0	66	1	6	14	157
0.65	1	0	66	1	1	2	26
0.651	1	0	66	2	2	12	125
0.651	1	0	66	2	3	28	469
0.651	1	0	66	2	4	8	85
0.651	1	0	66	2	6	14	157
0.651	1	0	66	2	1	2	26
0.652	1	0	66	3	2	12	125
0.652	1	0	66	3	3	28	469
0.652	1	0	66	3	4	8	85
0.652	1	0	66	3	6	14	157
0.652	1	0	66	3	1	2	26
0.653	1	0	66	4	2	12	125
0.653	1	0	66	4	3	28	469
0.653	1	0	66	4	4	8	85
0.653	1	0	66	4	6	14	157
0.653	1	0	66	4	1	2	26
0.654	1	0	66	5	2	12	125
0.654	1	0	66	5	3	28	469
0.654	1	0	66	5	4	8	85
0.654	1	0	66	5	6	14	157
0.654	1	0	66	5	1	2	26
0.655	1	0	66	6	2	12	125
0.655	1	0	66	6	3	28	469
0.655	1	0	66	6	4	8	85
0.655	1	0	66	6	6	14	157
0.655	1	0	66	6	1	2	26
0.656	1	0	66	7	2	12	125
0.656	1	0	66	7	3	28	469
0.656	1	0	66	7	4	8	85
0.656	1	0	66	7	6	14	157
0.656	1	0	66	7	1	2	26
0.657	1	0	66	8	2	12	125
0.657	1	0	66	8	3	28	469
0.657	1	0	66	8	4	8	85
0.657	1	0	66	8	6	14	157
0.657	1	0	66	8	1	2	26
0.658	1	0	66	9	2	12	125
0.658	1	0	66	9	3	28	469
0.658	1	0	66	9	4	8	85
0.658	1	0	66	9	6	14	157
0.658	1	0	66	9	1	2	26
0.659	1	0	66	10	2	12	125
0.659	1	0	66	10	3	28	469
0.659	1	0	66	10	4	8	85
0.659	1	0	66	10	6	14	157
0.659	1	0	66	10	1	2	26
0.66	1	0	67	1	2	12	125
0.66	1	0	67	1	3	28	469
0.66	1	0	67	1	4	8	85
0.66	1	0	67	1	6	14	157
0.66	1	0	67	1	1	2	26
0.661	1	0	67	2	2	12	125
0.661	1	0	67	2	3	28	469
0.661	1	0	67	2	4	8	85
0.661	1	0	67	2	6	14	157
0.661	1	0	67	2	1	2	26
0.662	1	0	67	3	2	12	125
0.662	1	0	67	3	3	28	469
0.662	1	0	67	3	4	8	85
0.662	1	0	67	3	6	14	157
0.662	1	0	67	3	1	2	26
0.663	1	0	67	4	2	12	125
0.663	1	0	67	4	3	28	469
0.663	1	0	67	4	4	8	85
0.663	1	0	67	4	6	14	157
0.663	1	0	67	4	1	2	26
0.664	1	0	67	5	2	12	125
0.664	1	0	67	5	3	28	469
0.664	1	0	67	5	4	8	85
0.664	1	0	67	5	6	14	157
0.664	1	0	67	5	1	2	26
0.665	1	0	67	6	2	12	125
0.665	1	0	67	6	3	28	469
0.665	1	0	67	6	4	8	85
0.665	1	0	67	6	6	14	157
0.665	1	0	67	6	1	2	26
0.666	1	0	67	7	2	12	125
0.666	1	0	67	7	3	28	469
0.666	1	0	67	7	4	8	85
0.666	1	0	67	7	6	14	157
0.666	1	0	67	7	1	2	26
0.667	1	0	67	8	2	12	125
0.667	1	0	67	8	3	28	469
0.667	1	0	67	8	4	8	85
0.667	1	0	67	8	6	14	157
0.667	1	0	67	8	1	2	26
0.668	1	0	67	9	2	12	125
0.668	1	0	67	9	3	28	469
0.668	1	0	67	9	4	8	85
0.668	1	0	67	9	6	14	157
0.668	1	0	67	9	1	2	26
0.669	1	0	67	10	2	12	125
0.669	1	0	67	10	3	28	469
0.669	1	0	67	10	4	8	85
0.669	1	0	67	10	6	14	157
0.669	1	0	67	10	1	2	26
0.67	1	0	68	1	2	12	125
0.67	1	0	68	1	3	28	469
0.67	1	0	68	1	4	8	85
0.67	1	0	68	1	6	14	157
0.67	1	0	68	1	1	2	26
0.671	1	0	68	2	2	12	125
0.671	1	0	68	2	3	28	469
0.671	1	0	68	2	4	8	85
0.671	1	0	68	2	6	14	157
0.671	1	0	68	2	1	2	26
0.672	1	0	68	3	2	12	125
0.672	1	0	68	3	3	28	469
0.672	1	0	68	3	4	8	85
0.672	1	0	68	3	6	14	157
0.672	1	0	68	3	1	2	26
0.673	1	0	68	4	2	12	125
0.673	1	0	68	4	3	28	469
0.673	1	0	68	4	4	8	85
0.673	1	0	68	4	6	14	157
0.673	1	0	68	4	1	2	26
1.039	1	1	104	10	1	0	85
1.04	1	1	105	1	1	0	85
1.041	1	1	105	2	1	0	85
1.042	1	1	105	3	1	0	85
1.043	1	1	105	4	1	0	85
1.044	1	1	105	5	1	0	85
1.045	1	1	105	6	1	0	85
0.674	1	0	68	5	2	12	125
0.674	1	0	68	5	3	28	469
0.674	1	0	68	5	4	8	85
0.674	1	0	68	5	6	14	157
0.674	1	0	68	5	1	2	26
0.675	1	0	68	6	2	12	125
0.675	1	0	68	6	3	28	469
0.675	1	0	68	6	4	8	85
0.675	1	0	68	6	6	14	157
0.675	1	0	68	6	1	2	26
1.052	1	1	106	3	1	0	85
0.676	1	0	68	7	2	12	125
0.676	1	0	68	7	3	28	469
0.676	1	0	68	7	4	8	85
0.676	1	0	68	7	6	14	157
0.676	1	0	68	7	1	2	26
0.677	1	0	68	8	2	12	125
0.677	1	0	68	8	3	28	469
0.677	1	0	68	8	4	8	85
0.677	1	0	68	8	6	14	157
0.677	1	0	68	8	1	2	26
0.678	1	0	68	9	2	12	125
0.678	1	0	68	9	3	28	469
0.678	1	0	68	9	4	8	85
0.678	1	0	68	9	6	14	157
0.678	1	0	68	9	1	2	26
0.679	1	0	68	10	2	12	125
0.679	1	0	68	10	3	28	469
0.679	1	0	68	10	4	8	85
0.679	1	0	68	10	6	14	157
0.679	1	0	68	10	1	2	26
0.68	1	0	69	1	2	12	125
0.68	1	0	69	1	3	28	469
0.68	1	0	69	1	4	8	85
0.68	1	0	69	1	6	14	157
0.68	1	0	69	1	1	2	26
0.681	1	0	69	2	2	12	125
0.681	1	0	69	2	3	28	469
0.681	1	0	69	2	4	8	85
0.681	1	0	69	2	6	14	157
0.681	1	0	69	2	1	2	26
0.682	1	0	69	3	2	12	125
0.682	1	0	69	3	3	28	469
0.682	1	0	69	3	4	8	85
0.682	1	0	69	3	6	14	157
0.682	1	0	69	3	1	2	26
0.683	1	0	69	4	2	12	125
0.683	1	0	69	4	3	28	469
0.683	1	0	69	4	4	8	85
0.683	1	0	69	4	6	14	157
0.683	1	0	69	4	1	2	26
0.684	1	0	69	5	2	12	125
0.684	1	0	69	5	3	28	469
0.684	1	0	69	5	4	8	85
